nom,compétences,expertise
"Luke Skywalker","Manipulation d'esprit Jedi, combat au sabre laser, pilotage de X-wing","0.9,0.8,0.95"
"Hermione Granger","Création de potions, Lancement de sorts, Voyage dans le temps","0.85,0.9,0.6"
"Mr.Spock","pincement du nerf Vulcain, fusion mentale, pilotage de vaisseau spatial","0.7,0.9,0.95"
"Chewbacca","Pilotage de vaisseau spatial, Théorie des cordes, Arbalète Wookie","0.95,0.8,0.9"
"Rick Sanchez","Voyage interdimensionnel, Mécanique quantique, Fabrication de potions","0.95,0.9,0.5"
"Sailor Moon","Magie du prisme lunaire, activation de la guérison de la lune, Javascript","0,85,0,9,0,95"
"Goku","Kamehameha, transmission instantanée, Super Saiyan","0,95,0,8,0,9"
"Optimus Prime","Leadership, tir à l'arme de poing, combat à l'épée","0,9,0,8,0,85"
"Samus Aran","Précision, Acrobaties, Power Suit","0.9,0.85,0.95"
"Doraemon","Gadgetry, Voyage dans le temps, Air Cannon","0.8,0.7,0.85"
