name,skills,mastery
"Luke Skywalker","Jedi mind tricks, Light saber fighting, X-wing piloting","0.9,0.8,0.95"
"Hermione Granger","Potion making, Spell casting, Time travel","0.85,0.9,0.6"
"Spock","Vulcan nerve pinch, Mind meld, Starship piloting","0.7,0.9,0.95"
"Deniz Pekin","Python, Biology, Comic book trivia","0.95,0.8,0.9"
"Rick Sanchez","Interdimensional travel, Quantum mechanics, Potion making","0.95,0.9,0.5"
"Sailor Moon","Moon Tiara Magic, Moon Healing Activation, Moon Spiral Heart Attack","0.85,0.9,0.95"
"Goku","Kamehameha, Instant Transmission, Super Saiyan","0.95,0.8,0.9"
"Optimus Prime","Leadership, Marksmanship, Sword Fighting","0.9,0.8,0.85"
"Samus Aran","Marksmanship, Acrobatics, Power Suit","0.9,0.85,0.95"
"Pikachu","Electric engineering, Singing, Martial arts","0.8,0.7,0.85"

